1,1,405,379,87,214,-1,-1,-1,-1
2,1,407,381,87,213,-1,-1,-1,-1
3,1,411,381,87,213,-1,-1,-1,-1
4,1,415,382,87,213,-1,-1,-1,-1
5,1,421,381,85,213,-1,-1,-1,-1
6,1,427,381,85,213,-1,-1,-1,-1
7,1,433,381,85,212,-1,-1,-1,-1
8,1,437,380,87,212,-1,-1,-1,-1
9,1,442,379,91,214,-1,-1,-1,-1
10,1,446,379,95,214,-1,-1,-1,-1
11,1,448,379,99,215,-1,-1,-1,-1
12,1,451,380,102,216,-1,-1,-1,-1
13,1,454,380,103,216,-1,-1,-1,-1
14,1,458,382,101,215,-1,-1,-1,-1
15,1,462,381,98,215,-1,-1,-1,-1
16,1,467,380,92,216,-1,-1,-1,-1
17,1,474,378,85,216,-1,-1,-1,-1
18,1,480,377,79,216,-1,-1,-1,-1
19,1,485,375,75,216,-1,-1,-1,-1
20,1,490,377,71,213,-1,-1,-1,-1
21,1,495,379,67,208,-1,-1,-1,-1
22,1,499,381,63,204,-1,-1,-1,-1
23,1,504,385,59,196,-1,-1,-1,-1
24,1,508,385,53,196,-1,-1,-1,-1
1,2,281,376,100,236,-1,-1,-1,-1
2,2,283,377,100,235,-1,-1,-1,-1
3,2,285,376,103,234,-1,-1,-1,-1
4,2,287,377,106,233,-1,-1,-1,-1
5,2,290,377,110,233,-1,-1,-1,-1
6,2,293,376,113,234,-1,-1,-1,-1
7,2,296,377,115,235,-1,-1,-1,-1
8,2,300,377,116,236,-1,-1,-1,-1
9,2,304,377,115,239,-1,-1,-1,-1
10,2,310,377,111,239,-1,-1,-1,-1
11,2,316,377,106,240,-1,-1,-1,-1
12,2,324,375,100,243,-1,-1,-1,-1
13,2,331,374,95,244,-1,-1,-1,-1
14,2,337,373,95,243,-1,-1,-1,-1
15,2,343,372,97,243,-1,-1,-1,-1
16,2,346,372,101,244,-1,-1,-1,-1
17,2,348,373,108,243,-1,-1,-1,-1
18,2,349,375,114,241,-1,-1,-1,-1
19,2,351,377,117,240,-1,-1,-1,-1
20,2,355,378,118,241,-1,-1,-1,-1
21,2,359,380,119,241,-1,-1,-1,-1
22,2,366,380,116,241,-1,-1,-1,-1
23,2,375,379,111,243,-1,-1,-1,-1
24,2,383,378,107,245,-1,-1,-1,-1
25,2,391,377,104,245,-1,-1,-1,-1
26,2,399,376,101,245,-1,-1,-1,-1
27,2,406,375,104,244,-1,-1,-1,-1
28,2,412,374,107,246,-1,-1,-1,-1
29,2,417,373,111,244,-1,-1,-1,-1
30,2,422,373,114,244,-1,-1,-1,-1
31,2,426,373,116,245,-1,-1,-1,-1
32,2,430,372,117,246,-1,-1,-1,-1
33,2,435,373,115,244,-1,-1,-1,-1
34,2,439,375,114,242,-1,-1,-1,-1
35,2,444,375,112,241,-1,-1,-1,-1
36,2,449,376,109,242,-1,-1,-1,-1
37,2,456,377,104,240,-1,-1,-1,-1
38,2,463,375,99,241,-1,-1,-1,-1
39,2,471,374,93,241,-1,-1,-1,-1
40,2,480,373,87,242,-1,-1,-1,-1
41,2,487,372,81,239,-1,-1,-1,-1
42,2,492,371,76,240,-1,-1,-1,-1
43,2,496,369,73,241,-1,-1,-1,-1
44,2,500,369,70,242,-1,-1,-1,-1
45,2,503,367,69,243,-1,-1,-1,-1
46,2,508,369,65,239,-1,-1,-1,-1
70,3,1508,343,51,248,-1,-1,-1,-1
71,3,1495,340,63,254,-1,-1,-1,-1
72,3,1476,336,83,260,-1,-1,-1,-1
73,3,1460,334,98,265,-1,-1,-1,-1
74,3,1446,328,112,268,-1,-1,-1,-1
75,3,1435,327,123,269,-1,-1,-1,-1
76,3,1428,326,129,271,-1,-1,-1,-1
77,3,1427,323,130,274,-1,-1,-1,-1
78,3,1423,320,124,275,-1,-1,-1,-1
79,3,1417,320,118,276,-1,-1,-1,-1
80,3,1408,321,111,275,-1,-1,-1,-1
81,3,1398,321,106,274,-1,-1,-1,-1
82,3,1380,324,107,271,-1,-1,-1,-1
83,3,1361,326,119,268,-1,-1,-1,-1
84,3,1342,330,130,265,-1,-1,-1,-1
85,3,1326,331,140,264,-1,-1,-1,-1
86,3,1312,334,148,262,-1,-1,-1,-1
87,3,1303,335,146,261,-1,-1,-1,-1
88,3,1298,335,137,262,-1,-1,-1,-1
89,3,1299,333,137,264,-1,-1,-1,-1
90,3,1296,333,130,264,-1,-1,-1,-1
91,3,1290,331,118,266,-1,-1,-1,-1
